,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.559401106109012858e+01,1.603830245656660622e+02,1.426033195151136965e+02,3.145154269606591946e+00,2.010075654228428987e-01
1.000000000000000000e+00,8.510429798696252135e+01,2.664702487307359320e+02,1.100208405618435989e+02,1.694992253173805086e+00,1.180518028789566687e-01
2.000000000000000000e+00,1.771474773629812205e+02,4.333637554607474272e+02,1.004091514122902709e+02,4.853135207953793717e+00,2.688795759653872519e-01
3.000000000000000000e+00,1.621303090020828108e+02,2.660488011466885041e+02,4.566985719022526524e+01,5.278085901379041545e+00,3.012835725519779628e-01
4.000000000000000000e+00,6.920718018276990335e+01,1.025672688488448046e+02,1.479433232654294272e+02,1.717434510063973407e+00,1.194207417503660718e-01
5.000000000000000000e+00,9.561826826552932346e+01,1.856320169670634641e+02,8.695600084488468440e+01,2.310293977734914961e+00,1.400180155649594083e-01
6.000000000000000000e+00,8.494779489582914778e+01,2.571514193259866374e+02,7.251418156415580540e+01,6.648449994440360777e-01,5.371604252228065479e-02
7.000000000000000000e+00,1.882199263525263859e+02,6.028543272443330352e+02,1.872395278247215060e+02,1.687864702971184272e+01,7.965941341845458323e-01
8.000000000000000000e+00,1.320307660637841707e+02,2.989015076491548371e+02,1.527607625494754018e+02,5.154321509509440347e+00,2.976613333051869037e-01
9.000000000000000000e+00,2.597719164511963186e+02,7.800155740387688184e+02,6.709902130543123349e+02,1.905063784698540275e+01,9.296133426211962147e-01
1.000000000000000000e+01,1.282209567278418945e+02,1.341836453616053637e+00,2.731057980681700883e+02,1.413837062703001690e-01,2.411377069291622988e+00
1.100000000000000000e+01,2.022020414508421879e+02,9.459990910055415814e-01,1.305928939309791019e+02,2.588515968412302692e-01,4.781523922112944192e+00
1.200000000000000000e+01,1.628613287755674151e+02,1.936101705125284980e+02,1.962670001589384867e+02,5.374179403004294642e+00,3.121461301941598210e-01
1.300000000000000000e+01,2.586192336041415274e+02,6.632221460404467734e+02,1.636100170701215859e+02,1.671267394501154868e+01,7.402336026051778983e-01
1.400000000000000000e+01,8.789226111716651246e+01,1.843331054595100795e+02,6.782072680650476570e+01,1.472215527717972483e+00,1.083768095265061349e-01
1.500000000000000000e+01,2.272856949177418358e+02,4.449433105500586976e+02,1.191649057959952671e+02,8.063079559812488029e+00,4.310185971055133791e-01
1.600000000000000000e+01,9.205704921285769160e+01,4.065508760175010252e+02,2.150941547018267670e+02,4.105887043847912921e+00,2.506768833414716457e-01
1.700000000000000000e+01,1.059158229662164956e+02,2.168636184566540237e+02,1.312729853469430452e+02,5.281174312351667233e+00,3.035959476405525881e-01
1.800000000000000000e+01,8.545159079587241990e+01,1.916720689111882621e+02,1.006555230772762428e+02,3.187949897754043693e+00,1.955996432818857544e-01
1.900000000000000000e+01,1.725194789233063091e+02,4.880961590671441854e+02,5.861077670037581129e+02,5.012223765481320648e+00,2.939753591538333266e-01
2.000000000000000000e+01,1.605855682336482175e+02,3.609169232027136900e+02,2.325300816602485199e+01,5.960175036212850941e+00,3.348072201995592745e-01
2.100000000000000000e+01,1.390520967033046702e+02,3.474166200967264331e+02,1.016882336277924708e+02,4.662507545279744647e+00,2.600144894034265852e-01
2.200000000000000000e+01,1.820555764036032542e+02,4.282741212128516963e+02,3.957088001588581960e+02,5.695005811979425125e+00,3.234988078577943349e-01
2.300000000000000000e+01,1.812523945034129156e+02,4.282479706668431163e+02,8.973605615342049191e+01,5.078172182491146103e+00,2.967963400017187836e-01
2.400000000000000000e+01,1.644406347277305542e+02,3.621774333647997537e+02,1.652125106389376299e+02,5.494915635110613650e+00,3.137749754020691118e-01
