,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
3.000000000000000000e+01,2.420445085747556959e+02,2.084685513715594851e+00,3.356851202618132675e+02,4.556628313443845890e+00,8.318851429713420487e+01
3.100000000000000000e+01,6.673726062430074535e+01,2.274628046480368653e+02,6.342379816234143419e+01,1.624556955103459543e+01,1.351741425491568060e+00
3.200000000000000000e+01,2.236635747402970367e+02,1.634351018091848573e+00,8.219954137473325773e+02,4.331750554894512106e+00,7.635878182147357052e+01
3.300000000000000000e+01,1.261535838985796829e+02,1.362978382281630152e+00,6.286482812579185975e+02,2.814560607453540531e+00,4.501761185960540246e+01
3.400000000000000000e+01,1.714550646305832231e+02,1.437384643731894451e+00,1.928578883000090798e+02,3.646611453069815934e+00,6.175386951957363380e+01
3.500000000000000000e+01,2.030713547339024956e+02,1.260079650431384479e+00,2.901483917954941489e+02,4.066928465950736538e+00,7.023198784036178210e+01
3.600000000000000000e+01,1.784025400700739112e+02,6.796221749180319875e+02,9.725796074147341130e+01,5.499992517789357294e+01,3.377611312519750886e+00
3.700000000000000000e+01,1.113877679874217250e+02,2.515355045734714849e+02,2.305800367963655333e+02,4.323546204033275586e+01,2.878917200281442046e+00
3.800000000000000000e+01,1.599950573156592100e+02,7.118279802672831114e-01,4.747762242302792970e+02,3.480573458864944403e+00,5.804946019569624127e+01
3.900000000000000000e+01,2.085732348366510962e+02,8.639434518540717312e-01,1.331853518456153722e+02,4.141520344459397762e+00,7.145008551265074459e+01
4.000000000000000000e+01,2.724686098531129801e+02,1.806956778991827495e+00,3.157488300576285383e+02,4.905295701283703735e+00,9.103347390555538254e+01
4.100000000000000000e+01,7.852579172560926679e+01,3.632336703087353791e-01,4.641419093351790082e+01,1.248693127635346789e+00,1.632923647736031469e+01
4.200000000000000000e+01,1.622637449666046905e+02,1.046861435977091803e+00,3.623288263346412919e+02,3.513494580991928018e+00,5.883965612350871055e+01
4.300000000000000000e+01,8.936992413577934258e+01,4.341363621890889091e-01,1.103771944979855704e+02,1.745896972073575082e+00,2.411715352063078655e+01
4.400000000000000000e+01,1.250750943317209050e+02,8.698665100728366628e-01,4.280580712659865839e+01,2.787317633791264626e+00,4.453193591192103185e+01
4.500000000000000000e+01,1.067254325936997645e+02,6.655555673763634550e-01,1.005772911174150011e+02,2.387315652078215056e+00,3.564049956789351370e+01
4.600000000000000000e+01,5.257191391191923913e+01,4.279539635835699074e-01,1.252605262330168756e+02,3.210920241237540940e-01,4.108234979943754084e+00
4.700000000000000000e+01,2.494797105375286890e+02,1.516143814909107101e+00,2.305288752825528320e+02,4.643072526649876686e+00,8.531622548642094728e+01
4.800000000000000000e+01,1.566849121657763533e+02,1.444857686538800090e+00,3.208763410021501272e+02,3.428906959092079099e+00,5.680807691229950507e+01
4.900000000000000000e+01,3.981687957789754932e+02,2.920195187317932817e+00,4.258598435209316904e+02,6.297786539755717783e+00,1.151001328369571581e+02
5.000000000000000000e+01,1.134865224664917918e+02,1.710315355600210125e+02,1.506493267403269556e+02,4.093942540581642930e+01,2.766472457305278798e+00
5.100000000000000000e+01,1.287327194369130439e+02,7.734087577261016255e-01,4.219192377379754362e+02,2.883562465638743966e+00,4.605583815247024404e+01
5.200000000000000000e+01,2.782253097753659290e+02,2.538324479250993804e+00,1.438396191795749530e+02,4.968895640589853002e+00,9.240189433992686929e+01
5.300000000000000000e+01,9.969429418668858034e+01,7.764275768617964202e-01,6.339840364885288437e+01,2.161596599175439337e+00,3.133060761858029863e+01
5.400000000000000000e+01,2.035610747916375658e+02,9.972735595175513668e-01,3.271428540802197062e+02,4.073351771941818633e+00,7.034229233052289487e+01
5.500000000000000000e+01,1.196723550712172681e+02,7.525277592752233069e-01,1.314377718105857298e+02,2.657479030975467005e+00,4.214031917394316196e+01
5.600000000000000000e+01,8.504886373317054904e+01,1.162664757435947438e+00,1.953016027735266107e+02,1.532367611220947223e+00,2.094054673740581407e+01
5.700000000000000000e+01,1.753776545736824630e+02,1.447649158814314330e+00,2.422248877773186848e+02,3.703700044850136486e+00,6.298313336371650450e+01
5.800000000000000000e+01,1.024266359686085650e+02,8.114137653272111006e-01,6.792083467132847829e+01,2.261027410785911851e+00,3.309216264997869672e+01
5.900000000000000000e+01,8.735730070335412734e+01,8.912097446752416108e-01,4.566921900340668117e+02,1.645020290923247197e+00,2.264687551014900890e+01
6.000000000000000000e+01,1.020513334853636991e+02,7.975627361615135191e-01,1.474433528171041132e+02,2.247612465072597043e+00,3.284626449145637395e+01
6.100000000000000000e+01,1.348108193749531551e+02,1.026305356978584049e+00,1.909142129843739610e+02,3.036271597491832619e+00,4.835411902428682396e+01
6.200000000000000000e+01,2.449678151146943890e+02,5.113909865661325398e+02,1.952094053216546001e+02,7.923914599273503256e+01,4.415450902190208637e+00
6.300000000000000000e+01,5.019639546843525579e+01,4.437702580081441806e-01,8.714198633180502895e+01,2.850551219123215185e-01,3.431790523654064007e+00
6.400000000000000000e+01,1.894265804606705217e+02,9.409606108577217576e-01,1.285449217988785620e+02,3.891526033727619183e+00,6.689231072873079142e+01
6.500000000000000000e+01,1.564502661033467064e+02,1.135914865260473361e+00,2.221645734602807352e+02,3.425135465780591026e+00,5.672285411604688932e+01
6.600000000000000000e+01,8.230234403277772515e+01,6.791724963785410463e-01,4.715598310766237233e+01,1.407746922920118493e+00,1.890091586431150716e+01
6.700000000000000000e+01,6.425375536949348998e+01,8.638560830674978375e-01,1.805643755648644628e+02,6.632475247192582968e-01,7.805937114337986316e+00
6.800000000000000000e+01,7.834422033986692213e+01,7.077172699021732072e-01,2.091203786181080488e+02,1.239891168557613277e+00,1.619253745095675612e+01
6.900000000000000000e+01,8.357470226771114596e+01,7.935695299857733476e-01,1.583515734705925411e+02,1.465005125880989745e+00,1.985033677726415746e+01
7.000000000000000000e+01,6.724167607804223223e+01,6.755260513209693229e-01,1.162131834143573457e+02,7.819520684776496422e-01,9.307599624124968329e+00
7.100000000000000000e+01,9.585220962161292846e+01,3.945948977443321155e+02,7.323349530259514495e+01,2.998535273745266139e+01,2.219814649607111612e+00
7.200000000000000000e+01,1.654062956961731174e+02,1.524237849476099527e+00,5.081961720696471616e+02,3.557449654190080857e+00,5.989718823304944806e+01
7.300000000000000000e+01,1.774111123184057419e+02,1.315318113858463978e+00,8.169425802418632543e+01,3.732869606911930038e+00,6.357857641071824162e+01
7.400000000000000000e+01,2.254715887645375574e+02,1.342712764370291412e+00,2.543603210264626000e+02,4.353185495068450095e+00,7.714898964566440043e+01
7.500000000000000000e+01,2.623548378556889134e+02,2.762298552680468866e+00,6.054854196248106746e+02,4.793847368079349636e+00,8.855387803214171072e+01
7.600000000000000000e+01,8.555010549419912991e+01,8.098079341044739365e-01,3.030752189344679550e+02,1.556786819338006778e+00,2.133288353033867324e+01
7.700000000000000000e+01,2.459381662931431833e+01,2.492710864840367024e-01,3.691860411680521992e+01,1.626554046108671459e-03,1.238696057706041576e-02
7.800000000000000000e+01,7.118899944302962979e+01,5.679315639047318731e-01,2.551144445034514945e+02,9.365201060190387894e-01,1.172092306721313371e+01
7.900000000000000000e+01,6.788318591630584820e+01,9.077379859713944343e-01,1.532944606158258409e+02,8.034468858574498329e-01,9.691621663005449250e+00
8.000000000000000000e+01,1.353604292099920485e+02,7.394995049860862979e-01,1.290777238500348290e+02,3.049661365342577479e+00,4.854096020112322662e+01
8.100000000000000000e+01,9.536760051212336009e+01,7.940758342101555955e-01,1.234716990725967207e+02,2.006099219290459423e+00,2.840140575356281616e+01
8.200000000000000000e+01,1.905669477137344074e+02,3.458289106670186470e+02,1.524536806689887953e+02,5.886228077126762770e+01,3.663795531234252945e+00
8.300000000000000000e+01,1.325518458506593049e+02,8.171094660347163474e-01,2.053782588710142250e+02,2.980350323629844311e+00,4.744778761198644190e+01
8.400000000000000000e+01,6.793450283978762627e+01,4.349428559098177938e-01,7.733638995711591235e+01,8.052254920215246026e-01,9.720272330948045436e+00
8.500000000000000000e+01,1.181692554119044161e+02,4.140323861103796244e-01,6.004079707528747889e+01,2.623243621317646657e+00,4.143347760952813275e+01
8.600000000000000000e+01,1.249800242329663575e+02,5.209531316582359750e+02,2.043268856783038530e+02,4.296439410075335985e+01,2.875916455850302977e+00
8.700000000000000000e+01,8.588160651160301029e+01,4.897481659850485003e-01,2.518324717330330031e+02,1.573379231408796208e+00,2.157751299983526039e+01
8.800000000000000000e+01,1.002259851989579857e+02,3.279038882414471723e-01,1.129475426953034400e+02,2.180421415995779544e+00,3.168891386901864493e+01
8.900000000000000000e+01,1.659954394774620425e+02,1.157157857266164713e+00,1.371041574355246837e+02,3.565937547555197984e+00,6.009072668486069801e+01
9.000000000000000000e+01,7.555365727338548254e+01,5.121881183534663933e+02,1.203580553579631385e+02,1.761903595881704732e+01,1.413702395186998695e+00
9.100000000000000000e+01,1.253544508175388472e+02,8.414885592883839527e-01,2.077876800905941082e+02,2.794262565225786421e+00,4.464380191583866520e+01
9.200000000000000000e+01,1.774689700967214492e+02,1.006182820672136602e+00,7.053027701280079782e+02,3.733712731526242834e+00,6.359550458912734427e+01
9.300000000000000000e+01,1.057539274611162767e+02,1.382729920596257100e+00,1.362486000576559775e+02,2.361481846696982689e+00,3.506580413135942109e+01
9.400000000000000000e+01,1.075721609786758677e+02,5.689697864856008147e-01,1.552396786767118613e+02,2.405524871327125336e+00,3.607060418248401135e+01
9.500000000000000000e+01,1.313019738958934965e+02,9.744959950389026071e-01,2.113244929645608750e+02,2.951072412574312409e+00,4.702611759771725275e+01
9.600000000000000000e+01,1.272240215430985018e+02,3.914725895894524115e+02,1.471430024201124240e+02,6.012014490219245744e+01,3.727348879611217747e+00
9.700000000000000000e+01,1.620049705914516665e+02,1.397561766439341380e+00,2.524472108995850590e+02,3.509968250657362621e+00,5.875619954425879143e+01
9.800000000000000000e+01,4.074723950248398552e+01,3.274552343951714906e-01,8.865012623742570952e+01,6.598929604376994884e-02,7.744832523356227627e-01
9.900000000000000000e+01,2.537125745204944280e+02,1.127819110518769596e+00,6.313036240409392974e+01,4.693834027383553931e+00,8.638889195269459265e+01
