,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-3, 1-PGD-1-1
3.500000000000000000e+01,2.217171363611128925e+02,1.348957617297025902e+00,3.999577155996364581e+02,5.456009242672226200e-01,7.436787207465529015e+00
3.600000000000000000e+01,1.932152196754713884e+02,6.343687810260771585e+02,1.002076530578159890e+02,2.330339112425284753e+01,1.551767502678376598e+00
3.700000000000000000e+01,1.486926485651123357e+02,1.092989692640546240e+00,3.666535118664921242e+02,5.456009242672226200e-01,7.436787207465529015e+00
3.800000000000000000e+01,1.487283290936169919e+02,6.799583176730945588e-01,3.732600255594333589e+02,5.456009242672226200e-01,7.436787207465529015e+00
3.900000000000000000e+01,2.543375379789238480e+02,9.849234015654302343e-01,1.599558876120868263e+02,5.455988392284519817e-01,7.436787207465529015e+00
4.000000000000000000e+01,1.808673856155356248e+02,5.959306205743795317e+02,2.153783974254336329e+02,2.690621190336627677e+01,1.727219975475007940e+00
4.100000000000000000e+01,7.186202940860506772e+01,3.441516376840444980e-01,5.391353141387320136e+01,4.859527266758368880e-01,5.012018231977039662e+00
4.200000000000000000e+01,1.774579769209850326e+02,1.046280402186206882e+00,2.902583053553993864e+02,5.456009242672226200e-01,7.436787207465529015e+00
4.300000000000000000e+01,1.381906340982889958e+02,5.395166576571897021e-01,1.160649235384501594e+02,1.030622722713525174e+00,1.621086336847579190e+01
4.400000000000000000e+01,1.215653237840712535e+02,3.341868475541542125e+02,5.502132118561374341e+01,2.020709596109895401e+01,1.394068023933560552e+00
4.500000000000000000e+01,1.109846943412433120e+02,7.492341559364203984e-01,1.086511216087938294e+02,5.456009242672226200e-01,7.436787207465529015e+00
4.600000000000000000e+01,4.860717662888089308e+01,4.507760398247903089e-01,1.023327532962834283e+02,2.135589257139186570e-01,2.304003978154971488e+00
4.700000000000000000e+01,2.402629337753820380e+02,1.680699153644573896e+00,3.484991779748577869e+02,1.368435136590734569e+00,2.486070274067687791e+01
4.800000000000000000e+01,1.639068510923463577e+02,1.253252170362531892e+00,2.679897152748400799e+02,5.456009242672226200e-01,7.436787207465529015e+00
4.900000000000000000e+01,3.595491979014763047e+02,2.454506162302466432e+00,4.836177243689926399e+02,5.450118092965996475e-01,7.436787207465529015e+00
5.000000000000000000e+01,1.644953133687122033e+02,2.456013962894382701e+02,1.953219432493024215e+02,2.082570798693238245e+01,1.424730155293857381e+00
5.100000000000000000e+01,8.148939158311519293e+01,5.960429950685862677e-01,2.701730350054797327e+02,5.280318810930315632e-01,6.681828976777881124e+00
5.200000000000000000e+01,3.552122053451368515e+02,3.358707698445936529e+00,1.866855718593492952e+02,2.889572502857324920e+00,4.773069957306361033e+01
5.300000000000000000e+01,9.188709753286877913e+01,6.482386191083658877e-01,5.487129886829634984e+01,5.456009242672226200e-01,7.308306240414179200e+00
5.400000000000000000e+01,2.330465244536610498e+02,1.229332429578734898e+00,4.830961409080933890e+02,2.561846272846907357e+00,4.089629071713407171e+01
5.500000000000000000e+01,1.486896050451517510e+02,9.860861721636640098e-01,1.535561208936545086e+02,5.456009242672226200e-01,7.436787207465529015e+00
