,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,9.313103097226850480e+01,2.172508039832883071e+02,2.069226115694021928e+02,3.244023254939543932e+01,2.363613495176134283e+00
1.000000000000000000e+00,6.895133795095377138e+01,2.069376578767771662e+02,1.356798816177788467e+02,1.382212774427869917e+01,1.190982285730220358e+00
2.000000000000000000e+00,1.373465269812267024e+02,8.945043081876417057e-01,9.735631529431685749e+01,3.093722376703538668e+00,4.933990316809798315e+01
3.000000000000000000e+00,1.309742843127155538e+02,6.333836110662562913e-01,5.633560267214375017e+01,2.943446887258176492e+00,4.691617672786376403e+01
4.000000000000000000e+00,7.395533820380254042e+01,3.988483194899954953e-01,1.706595161162402974e+02,1.049859251589631670e+00,1.336171200769551248e+01
5.000000000000000000e+00,1.087026504847961377e+02,2.122198321095051767e+02,1.126497315138090869e+02,3.719923398620326793e+01,2.617509813879485225e+00
6.000000000000000000e+00,6.568486494688119137e+01,2.027763624697780642e+02,1.029758010292457868e+02,9.962353008309380087e+00,8.659864066094373758e-01
7.000000000000000000e+00,1.906406086051915167e+02,1.309197358626497776e+00,2.414685548378149917e+02,3.907360790057829991e+00,6.721326417005644771e+01
8.000000000000000000e+00,1.010602564168427051e+02,6.176367142040217750e-01,2.215051295520302403e+02,2.210347283399269003e+00,3.220892169886945311e+01
9.000000000000000000e+00,2.465685747922803444e+02,6.268246348663592471e+02,6.083566133988150568e+02,7.913024387747745436e+01,4.407949446728745002e+00
1.000000000000000000e+01,1.004293484434645762e+02,1.050669480952093560e+00,3.033337093522472969e+02,2.187597219218543998e+00,3.181507945584024455e+01
1.100000000000000000e+01,1.379928022939243988e+02,6.025889701114552910e-01,1.162842871161184775e+02,3.106654199591323273e+00,4.958683607590783993e+01
1.200000000000000000e+01,1.466483702159631264e+02,1.895672458127635309e+02,1.758974322949818543e+02,5.947042739527285704e+01,3.695751491518589837e+00
1.300000000000000000e+01,2.182852625415676755e+02,5.312159894969490779e+02,1.462741392759487269e+02,8.917255980927225778e+01,5.002096424847018774e+00
1.400000000000000000e+01,6.270738780010997715e+01,1.513889963786720330e+02,6.199615763803559076e+01,2.142913263902696386e+01,1.708463300197252455e+00
1.500000000000000000e+01,2.207701463202866989e+02,8.549596267049488496e-01,1.428323187812829644e+02,4.296770124269276181e+00,7.407333339579567166e+01
1.600000000000000000e+01,8.884003825081065031e+01,1.133554750678009704e+00,4.030123122547794878e+02,1.717940896789879046e+00,2.371409540539513472e+01
1.700000000000000000e+01,1.104038095181368249e+02,7.631060067119286305e-01,1.454964014865757349e+02,2.461140627495912447e+00,3.750163192303101312e+01
1.800000000000000000e+01,1.023152995101432623e+02,5.720393064851216902e-01,1.625356437758568688e+02,2.257180336023440592e+00,3.302049540937352390e+01
1.900000000000000000e+01,1.473884842457985940e+02,1.017628167595657995e+00,3.792253045246955026e+02,3.283825841483945407e+00,5.313167952200375055e+01
2.000000000000000000e+01,1.161537498992480977e+02,7.793649299852161150e-01,3.172307110155350784e+01,2.578443057668052152e+00,4.042530177418966275e+01
2.100000000000000000e+01,1.228097353548136113e+02,8.842307730329137527e-01,1.409758836216652185e+02,2.731397785846955806e+00,4.360250317429573386e+01
2.200000000000000000e+01,1.411348500129529384e+02,3.082020883841847763e+02,4.522248490936177063e+02,3.608956290465019379e+01,2.447179078546700026e+00
2.300000000000000000e+01,1.394128538773842649e+02,1.029681259441443508e+00,1.592763326118347891e+02,3.135019076807271876e+00,5.013007503514054264e+01
2.400000000000000000e+01,1.596000135287931414e+02,9.718228726475656165e-01,2.505860300779980037e+02,3.474393555081559004e+00,5.788535299263624267e+01
2.500000000000000000e+01,2.221824779650635264e+02,2.719490185582179809e+00,2.995071978148370704e+02,4.313269780569650713e+00,7.534362601286919414e+01
2.600000000000000000e+01,8.254228785452598061e+01,5.616570023190680105e-01,1.474365451396576248e+02,1.418518754951340721e+00,1.906491440974836848e+01
2.700000000000000000e+01,8.563660857912192625e+01,5.885103209071144148e-01,3.583574085407954044e+02,1.561085407169535699e+00,2.139867946506386787e+01
2.800000000000000000e+01,1.114396362132511484e+02,3.060048678518680276e+02,1.806627889011890318e+02,3.668576394216790959e+01,2.462812284772616156e+00
2.900000000000000000e+01,8.339878186789526637e+01,5.586615181722736079e-01,4.306592942759036902e+01,1.457365172684818466e+00,1.971985386992949074e+01
3.000000000000000000e+01,2.420445085747556959e+02,2.084685513715594851e+00,3.356851202618132675e+02,4.556628313443845890e+00,8.318851429713420487e+01
3.100000000000000000e+01,7.251956290706895913e+01,5.915194994309933563e-01,7.303959521397254662e+01,9.888007066051499594e-01,1.253542725750612696e+01
3.200000000000000000e+01,2.236635747402970367e+02,1.634351018091848573e+00,8.219954137473325773e+02,4.331750554894512106e+00,7.635878182147357052e+01
3.300000000000000000e+01,1.261535838985796829e+02,1.362978382281630152e+00,6.286482812579185975e+02,2.814560607453540531e+00,4.501761185960540246e+01
3.400000000000000000e+01,1.714550646305832231e+02,1.437384643731894451e+00,1.928578883000090798e+02,3.646611453069815934e+00,6.175386951957363380e+01
3.500000000000000000e+01,2.030713547339024956e+02,1.260079650431384479e+00,2.901483917954941489e+02,4.066928465950736538e+00,7.023198784036178210e+01
3.600000000000000000e+01,1.568256085208215893e+02,1.743569013913001120e+00,7.806761936126551404e+01,3.431176635588843560e+00,5.685977391383134716e+01
3.700000000000000000e+01,1.168171699200568696e+02,7.701687921323667751e-01,2.745417798051133786e+02,2.592830321099814928e+00,4.074859880354554775e+01
3.800000000000000000e+01,1.666443481216891769e+02,3.002738143913186377e+02,3.391009531589135122e+02,5.377459078279686366e+01,3.391881263406437252e+00
3.900000000000000000e+01,2.566770441919296104e+02,3.974620372285562553e+02,1.655814558285078419e+02,6.866112073454898734e+01,4.149032993092342636e+00
4.000000000000000000e+01,2.724686098531129801e+02,1.806956778991827495e+00,3.157488300576285383e+02,4.905295701283703735e+00,9.103347390555538254e+01
4.100000000000000000e+01,7.852579172560926679e+01,3.632336703087353791e-01,4.641419093351790082e+01,1.248693127635346789e+00,1.632923647736031469e+01
4.200000000000000000e+01,1.622637449666046905e+02,1.046861435977091803e+00,3.623288263346412919e+02,3.513494580991928018e+00,5.883965612350871055e+01
4.300000000000000000e+01,8.936992413577934258e+01,4.341363621890889091e-01,1.103771944979855704e+02,1.745896972073575082e+00,2.411715352063078655e+01
4.400000000000000000e+01,1.363417252168036100e+02,3.614534342527666126e+02,6.453743652756077154e+01,4.589334163489461105e+01,3.012251501010587695e+00
4.500000000000000000e+01,1.101530669521009571e+02,2.685892720376326110e+02,9.113640319976465776e+01,3.485393349368618487e+01,2.383432563422047235e+00
4.600000000000000000e+01,4.439982914723209007e+01,1.513295555701960211e+02,1.300348395154476009e+02,6.733510012579549731e+00,5.965550896297344696e-01
4.700000000000000000e+01,2.494797105375286890e+02,1.516143814909107101e+00,2.305288752825528320e+02,4.643072526649876686e+00,8.531622548642094728e+01
4.800000000000000000e+01,1.566849121657763533e+02,1.444857686538800090e+00,3.208763410021501272e+02,3.428906959092079099e+00,5.680807691229950507e+01
4.900000000000000000e+01,3.981687957789754932e+02,2.920195187317932817e+00,4.258598435209316904e+02,6.297786539755717783e+00,1.151001328369571581e+02
5.000000000000000000e+01,1.135005563075778099e+02,4.253483489825856112e-01,1.380100938171455880e+02,2.523661366211185531e+00,3.909869240473830843e+01
5.100000000000000000e+01,1.287327194369130439e+02,7.734087577261016255e-01,4.219192377379754362e+02,2.883562465638743966e+00,4.605583815247024404e+01
5.200000000000000000e+01,2.782253097753659290e+02,2.538324479250993804e+00,1.438396191795749530e+02,4.968895640589853002e+00,9.240189433992686929e+01
5.300000000000000000e+01,9.969429418668858034e+01,7.764275768617964202e-01,6.339840364885288437e+01,2.161596599175439337e+00,3.133060761858029863e+01
5.400000000000000000e+01,2.035610747916375658e+02,9.972735595175513668e-01,3.271428540802197062e+02,4.073351771941818633e+00,7.034229233052289487e+01
5.500000000000000000e+01,1.196723550712172681e+02,7.525277592752233069e-01,1.314377718105857298e+02,2.657479030975467005e+00,4.214031917394316196e+01
5.600000000000000000e+01,8.504886373317054904e+01,1.162664757435947438e+00,1.953016027735266107e+02,1.532367611220947223e+00,2.094054673740581407e+01
5.700000000000000000e+01,1.753776545736824630e+02,1.447649158814314330e+00,2.422248877773186848e+02,3.703700044850136486e+00,6.298313336371650450e+01
5.800000000000000000e+01,1.024266359686085650e+02,8.114137653272111006e-01,6.792083467132847829e+01,2.261027410785911851e+00,3.309216264997869672e+01
5.900000000000000000e+01,8.735730070335412734e+01,8.912097446752416108e-01,4.566921900340668117e+02,1.645020290923247197e+00,2.264687551014900890e+01
6.000000000000000000e+01,1.020513334853636991e+02,7.975627361615135191e-01,1.474433528171041132e+02,2.247612465072597043e+00,3.284626449145637395e+01
6.100000000000000000e+01,1.348108193749531551e+02,1.026305356978584049e+00,1.909142129843739610e+02,3.036271597491832619e+00,4.835411902428682396e+01
6.200000000000000000e+01,2.449002460693046146e+02,1.272183251890279809e+00,1.427889522697040263e+02,4.589192615803757036e+00,8.392847266673089734e+01
