,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.559401106109012858e+01,1.603830245656660622e+02,1.426033195151136965e+02,3.145154269606591946e+00,2.010075654228428987e-01
1.000000000000000000e+00,8.510429798696252135e+01,2.664702487307359320e+02,1.100208405618435989e+02,1.694992253173805086e+00,1.180518028789566687e-01
2.000000000000000000e+00,1.727910481836307497e+02,1.160781422097640458e+00,1.178572775541981343e+02,2.077105887378882521e-01,3.879222622033440260e+00
3.000000000000000000e+00,1.268116046643006456e+02,2.144625005482024847e+02,3.964807517999103936e+01,4.478987529403081425e+00,2.504057326121935101e-01
4.000000000000000000e+00,6.920718018276990335e+01,1.025672688488448046e+02,1.479433232654294272e+02,1.717434510063973407e+00,1.194207417503660718e-01
5.000000000000000000e+00,1.087026504847961377e+02,2.122198321095051767e+02,1.126497315138090869e+02,1.589265459118029300e+00,9.458989759351081605e-02
6.000000000000000000e+00,6.356519257000487499e+01,5.451060932251902136e-01,5.602696054036317719e+01,2.640366252857128879e-02,3.552716923256135639e-01
7.000000000000000000e+00,1.882199263525263859e+02,6.028543272443330352e+02,1.872395278247215060e+02,1.687864702971184272e+01,7.965941341845458323e-01
8.000000000000000000e+00,1.320307660637841707e+02,2.989015076491548371e+02,1.527607625494754018e+02,5.154321509509440347e+00,2.976613333051869037e-01
9.000000000000000000e+00,2.597719164511963186e+02,7.800155740387688184e+02,6.709902130543123349e+02,1.905063784698540275e+01,9.296133426211962147e-01
1.000000000000000000e+01,1.316278418288463570e+02,5.709503098014731677e+02,1.865659083227283759e+02,4.367094276937266706e+00,2.623623596310440953e-01
1.100000000000000000e+01,2.022020414508421879e+02,9.459990910055415814e-01,1.305928939309791019e+02,2.588515968412302692e-01,4.781523922112944192e+00
1.200000000000000000e+01,1.476771696961325802e+02,4.745646088977051869e-01,1.918942228299829651e+02,1.747577604948229446e-01,3.065017917771837297e+00
1.300000000000000000e+01,2.586192336041415274e+02,6.632221460404467734e+02,1.636100170701215859e+02,1.671267394501154868e+01,7.402336026051778983e-01
1.400000000000000000e+01,9.522512096968145556e+01,2.144434269984560046e+02,6.554763508332270305e+01,2.095876047417816412e+00,1.513554593875740262e-01
1.500000000000000000e+01,2.272856949177418358e+02,4.449433105500586976e+02,1.191649057959952671e+02,8.063079559812488029e+00,4.310185971055133791e-01
1.600000000000000000e+01,1.031568484671195449e+02,4.853534610240191114e+02,2.789127106129097342e+02,3.233120201723190590e+00,1.963544134987541823e-01
1.700000000000000000e+01,1.300993294723002691e+02,2.960361026599469483e+02,1.585438644521701406e+02,4.458528554331312677e+00,2.513381799909428782e-01
1.800000000000000000e+01,8.545159079587241990e+01,1.916720689111882621e+02,1.006555230772762428e+02,3.187949897754043693e+00,1.955996432818857544e-01
1.900000000000000000e+01,1.459688184308124903e+02,9.772080157002486223e-01,5.219463657021689187e+02,1.710942186106997887e-01,3.025241483339233817e+00
2.000000000000000000e+01,1.605855682336482175e+02,3.609169232027136900e+02,2.325300816602485199e+01,5.960175036212850941e+00,3.348072201995592745e-01
2.100000000000000000e+01,1.732109437661010816e+02,4.020282412461136232e+02,1.444535025490877445e+02,5.630022225597936192e+00,3.196728743229830250e-01
2.200000000000000000e+01,1.424820872516785641e+02,3.109145168082554846e+02,4.010098863101443953e+02,4.609484276527616053e+00,2.583851476098571465e-01
2.300000000000000000e+01,1.812523945034129156e+02,4.282479706668431163e+02,8.973605615342049191e+01,5.078172182491146103e+00,2.967963400017187836e-01
2.400000000000000000e+01,1.565719616634275155e+02,8.327005941442721104e-01,1.807278892613641403e+02,1.848095766060821321e-01,3.368285198266593117e+00
