,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-3, 1-PGD-1-1
0.000000000000000000e+00,8.559401106109012858e+01,1.603830245656660622e+02,1.426033195151136965e+02,3.145154269606591946e+00,2.010075654228428987e-01
1.000000000000000000e+00,6.895133795095377138e+01,2.069376578767771662e+02,1.356798816177788467e+02,6.762864604617926378e-01,4.918560038320193839e-02
2.000000000000000000e+00,1.355334576623710632e+02,4.786000148992887944e+02,8.001018408897201084e+01,5.750650246908069363e+00,3.253978607256850508e-01
3.000000000000000000e+00,1.400515621593587525e+02,2.494878807797560967e+02,4.873153549940994367e+01,3.822003118863139370e+00,2.083315564847199042e-01
4.000000000000000000e+00,6.168297160434131143e+01,1.163619666902106360e+02,1.094159669539867963e+02,6.270660434231785096e-01,4.544347756347560940e-02
5.000000000000000000e+00,1.063133229568374958e+02,2.147639310827703127e+02,8.448626823621162885e+01,3.131878164423288702e+00,1.919281319189664881e-01
6.000000000000000000e+00,8.282322531556370393e+01,2.583227071226102680e+02,6.544146296958314224e+01,9.590002920068236847e-01,7.914796431884164873e-02
7.000000000000000000e+00,1.951822644017784114e+02,5.048406220939817217e+02,1.943917858784502641e+02,1.608879559372039836e+01,7.286261325634924013e-01
8.000000000000000000e+00,1.295642164385963042e+02,2.906352288481248252e+02,1.693234225323501789e+02,4.055919915665173292e+00,2.320087705543224799e-01
9.000000000000000000e+00,2.597719164511963186e+02,7.800155740387688184e+02,6.709902130543123349e+02,1.905063784698540275e+01,9.296133426211962147e-01
1.000000000000000000e+01,1.107986691457298605e+02,4.903833183074761450e+02,2.643038697482765542e+02,2.628298991454532274e+00,1.547499559154927873e-01
1.100000000000000000e+01,2.070945916823442587e+02,3.052147228355269704e+02,1.957949606576106305e+02,7.207646851930872955e+00,4.005137093856089847e-01
1.200000000000000000e+01,1.628613287755674151e+02,1.936101705125284980e+02,1.962670001589384867e+02,5.374179403004294642e+00,3.121461301941598210e-01
1.300000000000000000e+01,2.801345835307897119e+02,1.706575736816281497e+00,2.188323311027020281e+02,6.041289612609044291e-01,1.441398501414893296e+01
1.400000000000000000e+01,8.789226111716651246e+01,1.843331054595100795e+02,6.782072680650476570e+01,1.472215527717972483e+00,1.083768095265061349e-01
1.500000000000000000e+01,2.335694664573842942e+02,4.583722952345394788e+02,1.299699987885809094e+02,6.516169885281716923e+00,3.501715987105930572e-01
1.600000000000000000e+01,1.237859635291543867e+02,1.331012985686826244e+00,3.367148728805292421e+02,1.357601055897224018e-01,2.255344536601593841e+00
1.700000000000000000e+01,1.059158229662164956e+02,2.168636184566540237e+02,1.312729853469430452e+02,5.281174312351667233e+00,3.035959476405525881e-01
1.800000000000000000e+01,8.193061451554652308e+01,1.634218224273673741e+02,1.130438159052176417e+02,1.637824933085844314e+00,9.803543692018754085e-02
1.900000000000000000e+01,1.459688184308124903e+02,9.772080157002486223e-01,5.219463657021689187e+02,1.710942186106997887e-01,3.025241483339233817e+00
2.000000000000000000e+01,1.605855682336482175e+02,3.609169232027136900e+02,2.325300816602485199e+01,5.960175036212850941e+00,3.348072201995592745e-01
2.100000000000000000e+01,1.636168740198469322e+02,1.066939193971216726e+00,1.297638088326427521e+02,1.940736521040570262e-01,3.585929045442226126e+00
2.200000000000000000e+01,1.424820872516785641e+02,3.109145168082554846e+02,4.010098863101443953e+02,4.609484276527616053e+00,2.583851476098571465e-01
2.300000000000000000e+01,1.812523945034129156e+02,4.282479706668431163e+02,8.973605615342049191e+01,5.078172182491146103e+00,2.967963400017187836e-01
2.400000000000000000e+01,1.644406347277305542e+02,3.621774333647997537e+02,1.652125106389376299e+02,5.494915635110613650e+00,3.137749754020691118e-01
2.500000000000000000e+01,2.291079376962229333e+02,9.390849120571119784e+02,2.489625414483039947e+02,4.854894327114156027e+00,2.648811885873694760e-01
2.600000000000000000e+01,1.141649704531799756e+02,7.468951876442591065e-01,1.973153352676974066e+02,1.252677829831614353e-01,1.989459781623878598e+00
2.700000000000000000e+01,6.595112830467485310e+01,1.841662902564902140e+02,3.448506486403323947e+02,1.631911188434515880e+00,9.910311749901766498e-02
2.800000000000000000e+01,1.319288783347877541e+02,3.177135723475000191e+02,2.121723445501881713e+02,3.152499513545624854e+00,2.054253117019227692e-01
2.900000000000000000e+01,6.629518319938051718e+01,4.297744439831844843e-01,3.178060824110710314e+01,3.159618266814789855e-02,4.286946273933394114e-01
3.000000000000000000e+01,1.784048922776705410e+02,6.320048907048081901e+02,2.421343110308923769e+02,1.244358664295558370e+01,4.786513341450783221e-01
3.100000000000000000e+01,5.827132059573631295e+01,5.584622559324594615e-01,3.883369231507865038e+01,1.823721591195635525e-02,2.467689207454306644e-01
3.200000000000000000e+01,3.216195733637810577e+02,9.194365702074285309e+02,8.280601166162582558e+02,1.394286307971654182e+01,5.806622043746216821e-01
3.300000000000000000e+01,1.874272738052695502e+02,1.962402939040457595e+00,7.343578223665786027e+02,2.325466167911975357e-01,4.322521281445051322e+00
3.400000000000000000e+01,2.929784339877339789e+02,8.353075007206153941e+02,1.851428167402593203e+02,1.456839153183768509e+01,6.170956876523344681e-01
3.500000000000000000e+01,2.499202106846656193e+02,5.797097520868757101e+02,2.891724396983734096e+02,2.383902903160466380e+01,1.311557160753168416e+00
3.600000000000000000e+01,2.135800313517157178e+02,8.476421085239672948e+02,1.119989128075789466e+02,4.995528585431961766e+00,2.719459899420356153e-01
3.700000000000000000e+01,1.312489049736860522e+02,8.686834721125630265e-01,2.509611041172900343e+02,1.455396994040037695e-01,2.503377993268288026e+00
3.800000000000000000e+01,1.666443481216891769e+02,3.002738143913186377e+02,3.391009531589135122e+02,6.615191551645192902e+00,3.665721123250047508e-01
3.900000000000000000e+01,2.322949588882104308e+02,3.980238221940089716e+02,1.096814433417593904e+02,1.810208992477798873e+01,8.573173643473970262e-01
4.000000000000000000e+01,3.660736112651323424e+02,8.317704129736727054e+02,3.263056948549025265e+02,1.536937983724337897e+01,6.529002892000429492e-01
