,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,8.098318064862876042e+01,1.772554542896267264e+02,1.772544760525614151e+02,1.045836932619607396e+01,6.932900883066487330e-01
1.000000000000000000e+00,7.738415820346153851e+01,5.774018840092475235e-01,9.045890096915269396e+01,8.318640564854991037e-01,1.227755019014375826e+01
2.000000000000000000e+00,1.356190798843250889e+02,4.696310370761264039e+02,1.011697228611625832e+02,1.340618876087574307e+01,8.148298736700592126e-01
3.000000000000000000e+00,1.413818103748767214e+02,2.406429709200510842e+02,6.226402906620349142e+01,1.400325376303661606e+01,8.408771663301871646e-01
4.000000000000000000e+00,6.136624978451895629e+01,1.066896198721532301e+02,1.276207335616270484e+02,7.866755024503378380e+00,5.367000153927027339e-01
5.000000000000000000e+00,1.063817286236812549e+02,2.040978960268328990e+02,8.442548778741473825e+01,1.168790707470135537e+01,7.335483668437088323e-01
6.000000000000000000e+00,6.001727871605535114e+01,1.532936566324035823e+02,5.343066766759974229e+01,4.101555145878472253e+00,3.491014978889805942e-01
7.000000000000000000e+00,2.592005410323477008e+02,8.573198788494082692e+02,3.166268672101068660e+02,2.133954761082852158e+01,1.184719356412992308e+00
8.000000000000000000e+00,1.301195745557832026e+02,3.264787602705509357e+02,1.676953361276623866e+02,1.666205076430774668e+01,9.879001481800246953e-01
9.000000000000000000e+00,2.736573105083205633e+02,6.975057820634950758e+02,6.704368118322614691e+02,2.722402020687066937e+01,1.422575504682257908e+00
1.000000000000000000e+01,1.431549110312444100e+02,5.533888233372904324e+02,2.007161168936578690e+02,1.424620283787466590e+01,8.758374156953216971e-01
1.100000000000000000e+01,2.107253317364917109e+02,3.215463774789391209e+02,1.156651302458297721e+02,1.985041033354566764e+01,1.140311650980816660e+00
1.200000000000000000e+01,1.298692066023980658e+02,1.453254245432743517e+02,1.462901245445297320e+02,1.685192691864834913e+01,9.991857461245943206e-01
1.300000000000000000e+01,2.673879966407153006e+02,6.082410756528239517e+02,2.633229689373946485e+02,2.897331106631053999e+01,1.461779313649449241e+00
1.400000000000000000e+01,7.282414086520175545e+01,1.528014048929101136e+02,5.690323726157631512e+01,8.562314798211218658e+00,5.988797185252264788e-01
1.500000000000000000e+01,1.675006325195729460e+02,3.299984550878444907e+02,9.113389854651893529e+01,2.456441112886199463e+01,1.297376847864547100e+00
1.600000000000000000e+01,1.166915432097265324e+02,6.022223597382495655e+02,3.821320897149856819e+02,1.323335947559885462e+01,8.197097175474307162e-01
1.700000000000000000e+01,1.200831693041819221e+02,3.209196155487375677e+02,9.162372448164826721e+01,1.388793769835371528e+01,8.517870997324432647e-01
1.800000000000000000e+01,9.026747360867176440e+01,1.648760647269847084e+02,1.048069538385639277e+02,1.183267092223170280e+01,7.412108591471928687e-01
1.900000000000000000e+01,1.331915968382662641e+02,4.536512399390123278e+02,3.273453768252877580e+02,1.524462938300224657e+01,9.269325275445674528e-01
2.000000000000000000e+01,1.633219284726198737e+02,3.309253874158450799e+02,1.886117567964077324e+01,1.628652896519968252e+01,9.699453256893905140e-01
2.100000000000000000e+01,1.188908301536155818e+02,3.104746179511431592e+02,8.024690429396228808e+01,1.582726224744100563e+01,9.498008540919699039e-01
2.200000000000000000e+01,1.405766729282680103e+02,3.058326418141266458e+02,3.853029755519572745e+02,1.723463453357675235e+01,1.016674384283738242e+00
2.300000000000000000e+01,1.601440054858669555e+02,3.774432027977761095e+02,1.160560910379888497e+02,1.414154291626850046e+01,8.692905122332724721e-01
2.400000000000000000e+01,1.617114971279074496e+02,4.183435163709886524e+02,1.360347351756921341e+02,1.604890230069257129e+01,9.575517394107834201e-01
2.500000000000000000e+01,2.201616801611426979e+02,1.151159388898202906e+03,3.088095195252869303e+02,1.883132604311933989e+01,1.092913487668140560e+00
2.600000000000000000e+01,9.186963463712424982e+01,3.424772785846351439e+02,2.109248337404257541e+02,9.528097706911541565e+00,6.559805477909088633e-01
