,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
4.100000000000000000e+01,7.231195700754251732e+01,1.396424026374688765e+02,4.212875663146401450e+01,1.726100263822152758e+00,1.204718878157771400e-01
4.200000000000000000e+01,1.486405822910129189e+02,3.576926302470683936e+02,2.113237827845765651e+02,2.714625528702171664e+00,1.583991095478018973e-01
4.300000000000000000e+01,1.449145999528034565e+02,2.532314760331478283e+02,9.299451566730257923e+01,2.578899919431547616e+00,1.563093811898179641e-01
4.400000000000000000e+01,1.817552893888281176e+02,1.043221816200913921e+00,4.249749039362489356e+01,2.224745085687643564e-01,4.148447260442886808e+00
4.500000000000000000e+01,1.005109174852362486e+02,2.290231429549118332e+02,9.030524457574178143e+01,2.605739614961598338e+00,1.536284005245085182e-01
4.600000000000000000e+01,4.348157550370841307e+01,3.434292218645323969e-01,1.172769016582531378e+02,4.650515331493734403e-03,6.449694658218352306e-02
4.700000000000000000e+01,2.575454907396610338e+02,1.632450138167224507e+00,2.630331130681365153e+02,4.534363757524875194e-01,1.205964200606426928e+01
4.800000000000000000e+01,1.776918167563611064e+02,6.640969119743829197e+02,2.666094997798120971e+02,5.991348476327099881e+00,3.354539323379917559e-01
4.900000000000000000e+01,4.033896403837241564e+02,2.594385764087487889e+00,3.549786356071568889e+02,1.506007961471547585e+00,2.621764809028387688e+01
5.000000000000000000e+01,1.134865224664917918e+02,1.710315355600210125e+02,1.506493267403269556e+02,2.421475685427738167e+00,1.472578604606834263e-01
5.100000000000000000e+01,1.434300642813136335e+02,3.705175744410590255e+02,2.919923039832373775e+02,3.970093052934874134e+00,2.427352008875732492e-01
5.200000000000000000e+01,3.790061161022188116e+02,1.752495525122431673e+03,1.183870387084305662e+02,2.085857910453846031e+01,1.039998559509521803e+00
5.300000000000000000e+01,1.035136208280078023e+02,2.269047904272212577e+02,2.856588188120462135e+01,1.470332993082182460e+00,1.085239594936279889e-01
5.400000000000000000e+01,1.743899758748772229e+02,4.168696426365332854e+02,2.732729541082570108e+02,7.468008342645229725e+00,4.074591656753171476e-01
5.500000000000000000e+01,1.703479398440384216e+02,4.077584961150224103e+02,1.280995107687000143e+02,5.796321549255661232e+00,3.268899159514809249e-01
5.600000000000000000e+01,8.816201433158698819e+01,1.233674570512748314e+00,1.301239912096868352e+02,7.944000705453757583e-02,1.350067114814856195e+00
5.700000000000000000e+01,2.264925390744545552e+02,5.365254004114095778e+02,2.196807631219902817e+02,7.065553625461395093e+00,3.797605959209857107e-01
5.800000000000000000e+01,1.453597227594420644e+02,1.002988657903727709e+00,8.045683206742046423e+01,1.698224467449841457e-01,3.011150173550340092e+00
5.900000000000000000e+01,8.970592332108439848e+01,3.182687517984027750e+02,4.103969358661219076e+02,2.525576872738859002e+00,1.658021967414142206e-01
6.000000000000000000e+01,1.402312878192038568e+02,1.137483299701389283e+00,1.247867956984416651e+02,1.600117576805152875e-01,2.846181271829615778e+00
6.100000000000000000e+01,1.613097393629839189e+02,4.769621566903504117e+02,1.582074679064398026e+02,4.866307738084726608e+00,2.686129289045582347e-01
6.200000000000000000e+01,2.823479725948882333e+02,1.480798726237740004e+00,1.813604883873112783e+02,6.191554244117311034e-01,1.466304925926973901e+01
6.300000000000000000e+01,5.427713510595915380e+01,4.512243568246412928e-01,1.418999053099341552e+02,1.334576833571301732e-02,1.727852885789452064e-01
6.400000000000000000e+01,2.107029299314483808e+02,4.147446688993426278e+02,7.701075697893764982e+01,6.280680286807159618e+00,3.490532314442886253e-01
6.500000000000000000e+01,2.044673311718090361e+02,1.487891599351906180e+00,2.642575651934083112e+02,2.621465821970089261e-01,4.840727554866124827e+00
6.600000000000000000e+01,7.713663015889454755e+01,2.726528536047700868e+02,2.705900746631305509e+01,1.314181047496888688e+00,9.994099412567862550e-02
6.700000000000000000e+01,6.360443461147455935e+01,3.246924881845043842e+02,2.482456698394854300e+02,1.520232200948092416e+00,1.051145704686545085e-01
6.800000000000000000e+01,7.984852181462260035e+01,2.307350402811888159e+02,1.953547075926100831e+02,1.651114772448375234e+00,1.069762840354860772e-01
6.900000000000000000e+01,1.250507359725931025e+02,3.613729434550809856e+02,1.598955780359131325e+02,2.845207965806529238e+00,1.784592545292352783e-01
7.000000000000000000e+01,9.882936354527815581e+01,3.275857275326622471e+02,1.700653715871452221e+02,2.180336037605408173e+00,1.357245474313458489e-01
7.100000000000000000e+01,9.495286408854103399e+01,9.496366355953448357e-01,4.995852890293405579e+01,8.836280079811721644e-02,1.474830011285777731e+00
7.200000000000000000e+01,1.786750533194133652e+02,6.068051717176559805e+02,4.343505626689596397e+02,5.511650187193944284e+00,3.185110070786529857e-01
7.300000000000000000e+01,2.256869966109991879e+02,1.850482003261032071e+00,7.900813457137761020e+01,2.972873355105468129e-01,6.625949326767895720e+00
7.400000000000000000e+01,1.895754535104002798e+02,4.949944245777496121e+02,2.079218367194268637e+02,1.277216900900984342e+01,4.951683247478002037e-01
7.500000000000000000e+01,3.308817990194184517e+02,1.469830107854493463e+03,3.760119508880745229e+02,2.574615034528466495e+01,1.401689782920421568e+00
7.600000000000000000e+01,7.316253518367226150e+01,2.881934272355127291e+02,2.550498523857438613e+02,2.159694660176702197e+00,1.414326816442205703e-01
7.700000000000000000e+01,3.226627636215239647e+01,1.146037665080299064e+02,3.866462920172746465e+01,2.560108871359055831e-03,9.556407724135555933e-05
7.800000000000000000e+01,6.830363927811353619e+01,2.178871886160301017e+02,2.550505552149367645e+02,2.469920154663424183e-01,1.842589251675564796e-02
7.900000000000000000e+01,7.151432057083036398e+01,1.028212795053821127e+00,1.618444249994120696e+02,4.445304481526844709e-02,6.078125241236614906e-01
8.000000000000000000e+01,2.086407495682573767e+02,2.808074122430397779e+02,1.014655827019904279e+02,6.044763925046812147e+00,3.358689264142138975e-01
8.100000000000000000e+01,1.040832673670650053e+02,3.415922446359604123e+02,1.094116777565410814e+02,3.999080604516774162e+00,2.482423983795808420e-01
8.200000000000000000e+01,2.577921269577032035e+02,1.281313211186765555e+00,1.178507817167076439e+02,4.549786781706121053e-01,1.208166817645419933e+01
8.300000000000000000e+01,1.271014886906470167e+02,3.503330477196895458e+02,1.619965105171408482e+02,4.039665581660568883e+00,2.351257849734735561e-01
8.400000000000000000e+01,7.487741305044346518e+01,2.172113166344520323e+02,9.393493639200264056e+01,1.940273822221689759e+00,1.329480069275454368e-01
8.500000000000000000e+01,1.085745581754982396e+02,2.227057177493000495e+02,4.036100549809348337e+01,3.818786835768137600e+00,2.339443410444478066e-01
8.600000000000000000e+01,1.521803223812556496e+02,4.857945217878373114e+02,1.627134331548317050e+02,5.504637598429209966e+00,3.139277440866337643e-01
8.700000000000000000e+01,8.889633196983412233e+01,2.120896409981230306e+02,1.766316905384638574e+02,3.053355131324090976e+00,1.901568828729992555e-01
8.800000000000000000e+01,9.072163253805761940e+01,2.200800666051455912e-01,8.964770110678166759e+01,8.260238309779059651e-02,1.395603818927070749e+00
8.900000000000000000e+01,2.178773161673080381e+02,1.430020574661460708e+00,1.322407161141169070e+02,2.830663636166933506e-01,5.186881793983493694e+00
9.000000000000000000e+01,9.326705833007869728e+01,6.810483085313599076e+02,1.201120853283824488e+02,1.707108510070971530e+00,1.225985571671594637e-01
9.100000000000000000e+01,1.144649263518319060e+02,8.051880760217390298e-01,1.589001522880673747e+02,1.255720210398094949e-01,1.997473339046373253e+00
9.200000000000000000e+01,1.721277263412490015e+02,1.203885262982786086e+00,5.813792817629484944e+02,2.066685552244549584e-01,3.859621885132723307e+00
9.300000000000000000e+01,1.267458854773671391e+02,6.858396403497321216e+02,1.065031786067839334e+02,2.367101316363927399e+00,1.451807285937155301e-01
9.400000000000000000e+01,1.337550502386847597e+02,3.009123261582354871e+02,1.942881920729467708e+02,3.434752626430856104e+00,2.047994989348377870e-01
9.500000000000000000e+01,1.643546454256011486e+02,9.042887458230669528e-01,1.335566746087259276e+02,1.951129743323940235e-01,3.606493351565876360e+00
9.600000000000000000e+01,1.825927403417775849e+02,4.300269899741231825e+02,1.527126882224589224e+02,5.336019967533099262e+00,3.090332451554447246e-01
9.700000000000000000e+01,2.487164541153003086e+02,7.468586654706905392e+02,2.716279689142162965e+02,7.413657910728104206e+00,4.028132007928134084e-01
9.800000000000000000e+01,3.474422997321655515e+01,9.279483223388957924e+01,7.907156534763946354e+01,1.062520168743101429e-01,7.778632230577210704e-03
9.900000000000000000e+01,2.942960688364939301e+02,4.896854215659839156e+02,6.575597815512894329e+01,1.893457549913686577e+01,8.921305408730633157e-01
