,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
2.000000000000000000e+01,1.633219284726198737e+02,3.309253874158450799e+02,1.886117567964077324e+01,1.628652896519968252e+01,9.699453256893905140e-01
2.100000000000000000e+01,1.546620404755998948e+02,3.406143435846900616e+02,1.584867011979011124e+02,1.344609937933355681e+01,8.005080355179520213e-01
2.200000000000000000e+01,1.405766729282680103e+02,3.058326418141266458e+02,3.853029755519572745e+02,1.723463453357675235e+01,1.016674384283738242e+00
2.300000000000000000e+01,1.546366347377625345e+02,1.031303517014831694e+00,1.309128072789629584e+02,1.824601745973250533e-01,3.260379171257369979e+00
2.400000000000000000e+01,1.644406347277305542e+02,3.621774333647997537e+02,1.652125106389376299e+02,5.494915635110613650e+00,3.137749754020691118e-01
2.500000000000000000e+01,1.979829171599132849e+02,1.302401326446262601e+03,2.606233599240309786e+02,1.581799866566317903e+01,9.136225515055954594e-01
2.600000000000000000e+01,9.186963463712424982e+01,3.424772785846351439e+02,2.109248337404257541e+02,9.528097706911541565e+00,6.559805477909088633e-01
2.700000000000000000e+01,1.169187413285635273e+02,2.572913581271947123e+02,5.503231143924091384e+02,9.912075636964361891e+00,6.699451433323488914e-01
2.800000000000000000e+01,9.996987508316254889e+01,2.292420291424684535e+02,1.465068584830768827e+02,9.988572320516567515e+00,6.773674020071294155e-01
2.900000000000000000e+01,7.422510590514281148e+01,1.888674009637381062e+02,4.221189185331329696e+01,7.438697529248411655e+00,5.092885911547746502e-01
3.000000000000000000e+01,3.070126741168348303e+02,1.385099194295842835e+03,3.018301643175342974e+02,2.352285714381558179e+01,1.145295023177065330e+00
3.100000000000000000e+01,5.470101747979872187e+01,1.775129774405111789e+02,3.620108740222676147e+01,2.567125803724417121e+00,2.462644257939539394e-01
3.200000000000000000e+01,2.829682063801603249e+02,8.296138669919107542e+02,6.490334764471477911e+02,2.855165963558372866e+01,1.440847431568395010e+00
3.300000000000000000e+01,1.423546615505791522e+02,4.288166971364094024e+02,5.286413677278186469e+02,1.445052965086395247e+01,8.802928001126028024e-01
3.400000000000000000e+01,2.929784339877339789e+02,8.353075007206153941e+02,1.851428167402593203e+02,1.456839153183768509e+01,6.170956876523344681e-01
3.500000000000000000e+01,2.872695181693068207e+02,5.796781139218689987e+02,2.345560262227093915e+02,2.709143554482973926e+01,1.541274397589376122e+00
3.600000000000000000e+01,2.302923271527284896e+02,9.861315054612964559e+02,7.279190859026589067e+01,1.973300201502438966e+01,1.134110684729513929e+00
3.700000000000000000e+01,1.576590468998469703e+02,4.012903649656211655e+02,3.548884498062274133e+02,1.154025951354983981e+01,7.104964306746760494e-01
3.800000000000000000e+01,1.871887697351845077e+02,3.545679604775547773e+02,3.704639139887677288e+02,1.898818505246009281e+01,1.094342664871730042e+00
3.900000000000000000e+01,2.558624082058647389e+02,4.654316558921287879e+02,1.294948863853564376e+02,2.733282432112913440e+01,1.408944665164185039e+00
4.000000000000000000e+01,3.124250081117542663e+02,8.929175376293154613e+02,2.973262436843929777e+02,3.127223959476059889e+01,1.585634819799080830e+00
4.100000000000000000e+01,9.635955542327388912e+01,1.461491479527688568e+02,4.683962832424049338e+01,8.390336630807139429e+00,5.772797359487763513e-01
4.200000000000000000e+01,1.274710871987620919e+02,2.861459161792935788e+02,1.944505335532550419e+02,1.352285282479028616e+01,8.343803531492189896e-01
4.300000000000000000e+01,1.030181422905286581e+02,1.826054688009027132e+02,1.441131861149369229e+02,1.307170989188156263e+01,8.107184905197026836e-01
4.400000000000000000e+01,1.882884551908597928e+02,4.977208164241153554e+02,5.265858215411536492e+01,1.662651680264848864e+01,9.874925223826305221e-01
4.500000000000000000e+01,1.037583114161277678e+02,2.355580362743205853e+02,7.484223586967033270e+01,4.032113821273084930e+00,2.450083498768991785e-01
4.600000000000000000e+01,4.771577494039864575e+01,1.738115022809699042e+02,9.391982972420962028e+01,7.273424395783574248e+00,4.970831293333672352e-01
4.700000000000000000e+01,3.156325211149805341e+02,8.847612418600627961e+02,2.365190915241917082e+02,3.274095514020874020e+01,1.701478309203151795e+00
4.800000000000000000e+01,1.707081286171461443e+02,1.233629093335606441e+00,1.848750921992483995e+02,2.044601403462300571e-01,3.817834192848363895e+00
4.900000000000000000e+01,4.033896403837241564e+02,2.594385764087487889e+00,3.549786356071568889e+02,1.506007961471547585e+00,2.621764809028387688e+01
5.000000000000000000e+01,1.373003652015466969e+02,1.835201413415448997e+02,1.729340037302051485e+02,1.497345315122338327e+01,9.140875769541978446e-01
5.100000000000000000e+01,1.282367151779839389e+02,8.689124580357967531e-01,2.482906945856114191e+02,1.414047657793189583e-01,2.411852120125546506e+00
5.200000000000000000e+01,4.609810723048052523e+02,1.706028632837729219e+03,1.881057766761493895e+02,3.664183051225536047e+01,1.944843462696263403e+00
5.300000000000000000e+01,9.203301468654029804e+01,2.199350858388132508e+02,3.123058904137046810e+01,7.653280457195822173e+00,5.228668905755626817e-01
5.400000000000000000e+01,1.734322201626449100e+02,3.181728196328839999e+02,2.764198015985218717e+02,1.747669464837083098e+01,9.618080702583567954e-01
5.500000000000000000e+01,1.600216901596423895e+02,4.199440749269260778e+02,1.752191400773895964e+02,1.700944191223348412e+01,1.003297317447869652e+00
5.600000000000000000e+01,1.056019311485247414e+02,5.339630495722771002e+02,2.035734892265674034e+02,1.109424818662405698e+01,7.133498543452249097e-01
5.700000000000000000e+01,2.594837749293947695e+02,6.826446978022972871e+02,2.206519667903306754e+02,2.138940567127852077e+01,1.156645383942746408e+00
5.800000000000000000e+01,9.525592128041500928e+01,2.954794575161122907e+02,8.410178225998207324e+01,1.490947928584597193e+01,9.083235071525248561e-01
5.900000000000000000e+01,1.006594770132079049e+02,4.193299672452686764e+02,5.040154955967240085e+02,9.013435614014341013e+00,6.171698886955208074e-01
6.000000000000000000e+01,1.175895325757713437e+02,3.131888251233800133e+02,8.187572512509353828e+01,1.607113376029457186e+01,9.607755978739981328e-01
6.100000000000000000e+01,1.692481104695512499e+02,1.432850813947459834e+00,1.969840125846219792e+02,2.022189707654772073e-01,3.775090490745446115e+00
6.200000000000000000e+01,2.823479725948882333e+02,1.480798726237740004e+00,1.813604883873112783e+02,6.191554244117311034e-01,1.466304925926973901e+01
6.300000000000000000e+01,6.019836524516853160e+01,2.115702472138427197e+02,1.161394171178317123e+02,6.882403655339095927e+00,4.725527629751891112e-01
6.400000000000000000e+01,2.425902715544679893e+02,3.270628066190704430e+02,1.175516144358414437e+02,1.820574064697678196e+01,1.067922004581060902e+00
