,1-PGA-1-1, 1-SA_0.3-1-1, 1-SA_1.0-1-1, 1-PGD-1-1, 1-PGD-1-3
0.000000000000000000e+00,1.021115244728585623e+02,5.049006071943393792e-01,2.050380337459866666e+02,1.005424486372140935e-01,1.646584615703242882e+00
1.000000000000000000e+00,7.554145366836897324e+01,2.265989183375712059e+02,1.147692296149736109e+02,1.151481593072903431e+00,8.120496752526520923e-02
2.000000000000000000e+00,1.727910481836307497e+02,1.160781422097640458e+00,1.178572775541981343e+02,2.077105887378882521e-01,3.879222622033440260e+00
3.000000000000000000e+00,1.665025270125780992e+02,7.157318365717716402e-01,5.096088320078690970e+01,1.981782237804621538e-01,3.666721248280302881e+00
4.000000000000000000e+00,6.825918434549504354e+01,3.249536584676432915e-01,1.637798946850233222e+02,3.589590856100594723e-02,4.862352044388796313e-01
5.000000000000000000e+00,1.063133229568374958e+02,2.147639310827703127e+02,8.448626823621162885e+01,3.131878164423288702e+00,1.919281319189664881e-01
6.000000000000000000e+00,8.282322531556370393e+01,2.583227071226102680e+02,6.544146296958314224e+01,9.590002920068236847e-01,7.914796431884164873e-02
7.000000000000000000e+00,2.967223263676821148e+02,2.179192115025465171e+00,3.245226032187209739e+02,7.197884649183879935e-01,1.597920940495072983e+01
8.000000000000000000e+00,1.320307660637841707e+02,2.989015076491548371e+02,1.527607625494754018e+02,5.154321509509440347e+00,2.976613333051869037e-01
9.000000000000000000e+00,3.133588460832717146e+02,1.856776737738319083e+00,7.267429628993351116e+02,8.373554092497549339e-01,1.750706980217855246e+01
1.000000000000000000e+01,1.316278418288463570e+02,5.709503098014731677e+02,1.865659083227283759e+02,4.367094276937266706e+00,2.623623596310440953e-01
1.100000000000000000e+01,2.022020414508421879e+02,9.459990910055415814e-01,1.305928939309791019e+02,2.588515968412302692e-01,4.781523922112944192e+00
1.200000000000000000e+01,1.628613287755674151e+02,1.936101705125284980e+02,1.962670001589384867e+02,5.374179403004294642e+00,3.121461301941598210e-01
1.300000000000000000e+01,2.673879966407153006e+02,6.082410756528239517e+02,2.633229689373946485e+02,2.897331106631053999e+01,1.461779313649449241e+00
1.400000000000000000e+01,7.573127911384091249e+01,5.058945344767218355e-01,5.563320552678662523e+01,5.987879832696612475e-02,7.635581628140130084e-01
1.500000000000000000e+01,2.335694664573842942e+02,4.583722952345394788e+02,1.299699987885809094e+02,6.516169885281716923e+00,3.501715987105930572e-01
1.600000000000000000e+01,1.237859635291543867e+02,1.331012985686826244e+00,3.367148728805292421e+02,1.357601055897224018e-01,2.255344536601593841e+00
1.700000000000000000e+01,1.059158229662164956e+02,2.168636184566540237e+02,1.312729853469430452e+02,5.281174312351667233e+00,3.035959476405525881e-01
1.800000000000000000e+01,9.600517646921970538e+01,1.808422103421794418e+02,1.099241999198172266e+02,2.360803100181501080e+00,1.434804369439825200e-01
1.900000000000000000e+01,1.387811244264017319e+02,4.569494402863894038e+02,4.725645538684594271e+02,4.052324943923297340e+00,2.346458814321028818e-01
2.000000000000000000e+01,1.735207338122821170e+02,1.070904771380843279e+00,1.911522219539303791e+01,2.088644644918316029e-01,3.900838481359599985e+00
2.100000000000000000e+01,1.390520967033046702e+02,3.474166200967264331e+02,1.016882336277924708e+02,4.662507545279744647e+00,2.600144894034265852e-01
2.200000000000000000e+01,1.405766729282680103e+02,3.058326418141266458e+02,3.853029755519572745e+02,1.723463453357675235e+01,1.016674384283738242e+00
